Date,Open,High,Low,Close,Adj. close,Volume
5/26/2009,887.00,911.76,881.46,910.33,910.33,"5,66,70,50,000"
5/22/2009,888.68,896.65,883.75,887.00,887.00,"5,15,53,20,000"
5/21/2009,900.42,900.42,879.61,888.33,888.33,"6,01,98,40,000"
5/20/2009,908.62,924.60,901.37,903.47,903.47,"8,20,50,60,000"
5/19/2009,909.67,916.39,905.22,908.13,908.13,"6,61,62,70,000"
5/18/2009,886.07,910.00,886.07,909.71,909.71,"5,70,21,50,000"
5/15/2009,892.76,896.97,878.94,882.88,882.88,"5,43,97,20,000"
5/14/2009,884.24,898.36,882.52,893.07,893.07,"6,13,48,70,000"
5/13/2009,905.40,905.40,882.80,883.92,883.92,"7,09,18,20,000"
5/12/2009,910.52,915.57,896.46,908.35,908.35,"6,87,17,50,000"
5/11/2009,922.99,922.99,908.68,909.24,909.24,"6,15,06,00,000"
5/8/2009,909.03,930.17,909.03,929.23,929.23,"8,16,32,80,000"
5/7/2009,919.58,929.58,901.36,907.39,907.39,"9,12,01,00,000"
5/6/2009,903.95,920.28,903.95,919.53,919.53,"8,55,50,40,000"
5/5/2009,906.10,907.70,897.34,903.80,903.80,"6,88,28,60,000"
5/4/2009,879.21,907.85,879.21,907.24,907.24,"7,03,88,40,000"
5/1/2009,872.74,880.48,866.10,877.52,877.52,"5,31,21,70,000"
4/30/2009,876.59,888.70,868.51,872.81,872.81,"6,86,25,40,000"
4/29/2009,856.85,882.06,856.85,873.64,873.64,"6,10,16,20,000"
4/28/2009,854.48,864.48,847.12,855.16,855.16,"6,32,80,00,000"
4/27/2009,862.82,868.83,854.65,857.51,857.51,"5,61,34,60,000"
4/24/2009,853.91,871.80,853.91,866.23,866.23,"7,11,44,40,000"
4/23/2009,844.62,852.87,835.45,851.92,851.92,"6,56,31,00,000"
4/22/2009,847.26,861.78,840.57,843.55,843.55,"7,32,78,60,000"
4/21/2009,831.25,850.09,826.83,850.08,850.08,"7,43,64,90,000"
4/20/2009,868.27,868.27,832.39,832.39,832.39,"6,97,39,60,000"
4/17/2009,865.18,875.63,860.87,869.60,869.60,"7,35,20,10,000"
4/16/2009,854.54,870.35,847.04,865.30,865.30,"6,59,86,70,000"
4/15/2009,839.44,852.93,835.58,852.06,852.06,"6,24,11,00,000"
4/14/2009,856.88,856.88,840.25,841.50,841.50,"7,56,98,40,000"
4/13/2009,855.33,864.31,845.35,858.73,858.73,"6,43,48,90,000"
4/9/2009,829.29,856.91,829.29,856.56,856.56,"7,60,07,10,000"
4/8/2009,816.76,828.42,814.84,825.16,825.16,"5,93,84,60,000"
4/7/2009,834.12,834.12,814.53,815.55,815.55,"5,15,55,80,000"
4/6/2009,839.75,839.75,822.79,835.48,835.48,"6,21,00,00,000"
4/3/2009,835.13,842.50,826.70,842.50,842.50,"5,85,56,40,000"
4/2/2009,814.53,845.61,814.53,834.38,834.38,"7,54,28,10,000"
4/1/2009,793.59,813.62,783.32,811.08,811.08,"6,03,41,40,000"
3/31/2009,790.88,810.48,790.88,797.87,797.87,"6,08,91,00,000"
3/30/2009,809.07,809.07,779.81,787.53,787.53,"5,91,26,60,000"
3/27/2009,828.68,828.68,813.43,815.94,815.94,"5,60,02,10,000"
3/26/2009,814.06,832.98,814.06,832.86,832.86,"6,99,29,60,000"
3/25/2009,806.81,826.78,791.37,813.88,813.88,"7,68,71,80,000"
3/24/2009,820.60,823.65,805.48,806.12,806.12,"6,76,79,80,000"
3/23/2009,772.31,823.37,772.31,822.92,822.92,"7,71,57,70,000"
3/20/2009,784.58,788.91,766.20,768.54,768.54,"7,64,37,20,000"
3/19/2009,797.92,803.24,781.82,784.04,784.04,"9,03,38,70,000"
3/18/2009,776.01,803.04,765.64,794.35,794.35,"9,09,84,50,000"
3/17/2009,753.88,778.12,749.93,778.12,778.12,"6,15,68,00,000"
