Date,Price,Open,High,Low,Vol.,Change %
20-Feb-21,55923.70,55922.00,57523.80,54124.10,127.85K,0.00
19-Feb-21,55906.60,51590.10,56238.50,50816.80,139.43K,0.08
18-Feb-21,51582.20,52094.50,52524.00,50941.60,94.35K,-0.01
17-Feb-21,52079.20,49161.30,52577.70,49018.10,140.03K,0.06
16-Feb-21,49169.70,47934.20,50515.80,47044.40,141.37K,0.03
15-Feb-21,47936.30,48611.10,48936.50,45786.10,123.18K,-0.01
14-Feb-21,48643.40,47172.10,49695.10,47051.90,106.50K,0.03
13-Feb-21,47168.70,47373.10,48097.30,46270.50,89.42K,0.00
12-Feb-21,47371.70,47995.00,48927.40,46218.60,133.73K,-0.01
11-Feb-21,47990.70,44834.80,48622.10,44041.10,145.77K,0.07
10-Feb-21,44836.00,46507.80,47295.30,43800.50,151.83K,-0.04
9-Feb-21,46508.60,46396.40,48143.50,45104.70,193.87K,0.00
8-Feb-21,46395.70,38853.60,46596.40,38057.00,248.47K,0.19
7-Feb-21,38852.90,39228.90,39691.70,37381.60,125.37K,-0.01
6-Feb-21,39256.60,38300.60,40939.70,38275.30,156.02K,0.03
5-Feb-21,38297.60,36976.40,38303.60,36640.00,100.60K,0.04
4-Feb-21,36982.10,37648.90,38707.90,36380.80,151.44K,-0.02
3-Feb-21,37646.80,35486.90,37646.80,35401.50,131.03K,0.06
2-Feb-21,35485.20,33514.00,35976.10,33462.40,120.85K,0.06
1-Feb-21,33515.70,33106.80,34685.60,32324.90,126.32K,0.01
31-Jan-21,33108.10,34281.60,34348.30,32189.90,101.92K,-0.03
30-Jan-21,34283.10,34300.00,34920.90,32908.50,128.57K,0.00
29-Jan-21,34301.80,33381.70,38546.00,31953.30,297.73K,0.03
28-Jan-21,33374.80,30408.90,33790.80,29911.90,167.39K,0.10
27-Jan-21,30404.00,32499.60,32545.40,29290.40,194.35K,-0.06
26-Jan-21,32502.10,32244.10,32917.70,30850.00,139.84K,0.01
25-Jan-21,32252.30,32244.30,34854.30,31967.40,142.43K,0.00
24-Jan-21,32241.30,32088.50,33034.80,30982.90,88.21K,0.00
23-Jan-21,32088.90,32994.10,33441.40,31418.20,100.70K,-0.03
22-Jan-21,33000.50,30838.70,33821.20,28871.20,243.09K,0.07
21-Jan-21,30842.10,35472.30,35591.10,30101.80,253.27K,-0.13
20-Jan-21,35476.30,35862.10,36384.40,33444.50,153.61K,-0.01
19-Jan-21,36002.90,36630.60,37821.00,36001.40,79.11K,-0.02
18-Jan-21,36613.20,35838.20,37436.80,34801.00,111.52K,0.02
17-Jan-21,35839.60,36020.10,36801.30,33883.50,126.82K,-0.01
16-Jan-21,36019.50,36751.80,37931.70,35408.40,137.02K,-0.02
15-Jan-21,36845.80,39175.70,39715.00,34488.70,118.42K,-0.06
14-Jan-21,39175.70,37383.40,40054.30,36772.10,172.40K,0.05
13-Jan-21,37382.20,34061.20,37764.60,32451.90,209.93K,0.10
12-Jan-21,34076.10,35426.00,36598.70,32572.70,241.93K,-0.04
11-Jan-21,35544.30,38195.30,38217.20,30411.60,251.04K,-0.07
10-Jan-21,38192.20,40149.70,41362.40,35141.60,215.78K,-0.05
9-Jan-21,40151.90,40607.20,41363.50,38775.10,128.42K,-0.01
8-Jan-21,40599.30,39466.40,41921.70,36613.40,251.29K,0.03
7-Jan-21,39460.20,36798.50,40340.90,36361.20,249.60K,0.07
6-Jan-21,36793.20,33999.30,36934.80,33408.30,227.56K,0.08
5-Jan-21,33991.50,32015.40,34414.70,30010.50,202.13K,0.06
4-Jan-21,32022.60,33016.60,33587.50,28204.50,255.27K,-0.03
3-Jan-21,32958.90,32192.90,34755.90,32029.60,155.21K,0.02
2-Jan-21,32193.30,29359.70,33233.50,29008.00,240.87K,0.10
1-Jan-21,29359.90,28951.70,29627.10,28712.40,100.90K,0.01
31-Dec-20,28949.40,28866.80,29298.80,28025.00,136.69K,0.00
30-Dec-20,28868.70,27374.50,28979.30,27374.50,159.82K,0.05
29-Dec-20,27376.00,27065.30,27390.70,25902.80,119.57K,0.01
28-Dec-20,27057.80,26259.20,27444.90,26144.30,126.98K,0.03
27-Dec-20,26261.30,26460.30,28360.30,25858.20,231.23K,-0.01
26-Dec-20,26454.40,24714.70,26826.00,24515.10,155.77K,0.07
25-Dec-20,24689.60,23728.70,24778.90,23445.30,2.40K,0.04
24-Dec-20,23736.50,23253.20,23783.70,22737.30,104.59K,0.02
23-Dec-20,23257.90,23820.80,24063.70,22694.70,178.47K,-0.02
22-Dec-20,23823.20,22730.40,23825.40,22388.60,130.75K,0.05
21-Dec-20,22728.50,23474.10,24101.90,22015.50,154.69K,-0.03
20-Dec-20,23474.90,23843.60,24280.90,23098.90,114.09K,-0.02
19-Dec-20,23844.00,23127.60,24107.10,22797.00,133.88K,0.03
18-Dec-20,23127.90,22823.30,23272.80,22361.50,131.80K,0.01
17-Dec-20,22825.40,21352.30,23738.00,21243.10,310.74K,0.07
16-Dec-20,21352.20,19434.70,21525.30,19299.70,199.81K,0.10
15-Dec-20,19434.90,19273.90,19556.30,19076.20,98.39K,0.01
14-Dec-20,19273.80,19176.40,19346.50,19007.00,67.11K,0.01
13-Dec-20,19176.80,18808.10,19403.60,18716.80,82.45K,0.02
12-Dec-20,18808.90,18026.70,18936.20,18025.10,71.37K,0.04
11-Dec-20,18023.60,18250.50,18288.30,17600.10,111.53K,-0.01
10-Dec-20,18247.20,18546.10,18551.80,17926.80,85.31K,-0.02
9-Dec-20,18546.00,18322.40,18637.90,17658.80,129.72K,0.01
8-Dec-20,18326.60,19170.80,19288.60,18229.20,101.41K,-0.04
7-Dec-20,19170.70,19368.40,19424.60,18908.80,61.98K,-0.01
6-Dec-20,19379.90,19146.00,19417.10,18873.00,54.56K,0.01
5-Dec-20,19146.50,18657.50,19172.70,18507.10,59.44K,0.03
4-Dec-20,18658.10,19431.10,19529.50,18610.80,110.63K,-0.04
3-Dec-20,19433.30,19219.80,19596.60,18883.70,99.97K,0.01
2-Dec-20,19218.80,18767.90,19335.50,18346.70,91.92K,0.02
1-Dec-20,18770.70,19697.80,19897.40,18257.00,208.72K,-0.05
30-Nov-20,19698.10,18186.00,19831.20,18186.00,185.59K,0.08
29-Nov-20,18185.50,17729.70,18336.30,17530.40,79.12K,0.03
28-Nov-20,17730.70,17142.60,17874.40,16874.40,95.20K,0.04
27-Nov-20,17127.10,17160.90,17450.30,16481.60,138.80K,0.00
26-Nov-20,17162.00,18721.90,18894.90,16235.20,312.07K,-0.08
25-Nov-20,18723.00,19151.50,19486.70,18527.70,146.12K,-0.02
24-Nov-20,19152.60,18394.60,19416.60,18074.80,180.79K,0.04
23-Nov-20,18379.60,18428.10,18756.80,18016.00,127.35K,0.00
22-Nov-20,18412.90,18689.30,18751.50,17644.60,121.76K,-0.01
21-Nov-20,18687.20,18673.80,18966.00,18397.50,108.91K,0.00
20-Nov-20,18675.20,17805.50,18811.00,17758.40,134.42K,0.05
19-Nov-20,17803.50,17775.10,18166.00,17380.10,135.94K,0.00
18-Nov-20,17774.60,17662.30,18466.10,17258.90,233.43K,0.01
17-Nov-20,17662.30,16715.80,17845.40,16562.00,175.87K,0.06
16-Nov-20,16715.80,15954.10,16880.70,15870.70,118.09K,0.05
15-Nov-20,15953.00,16074.70,16158.10,15782.30,58.43K,-0.01
14-Nov-20,16071.00,16323.10,16328.20,15717.70,83.64K,-0.02
13-Nov-20,16324.20,16293.00,16474.10,15973.40,113.75K,0.00
12-Nov-20,16294.70,15695.80,16342.70,15483.50,165.54K,0.04
11-Nov-20,15695.80,15303.10,15953.90,15281.00,119.07K,0.03
10-Nov-20,15303.60,15328.00,15465.30,15096.50,93.36K,0.00
9-Nov-20,15327.20,15483.30,15819.60,14816.90,165.04K,-0.01
8-Nov-20,15483.70,14826.60,15648.30,14720.70,94.99K,0.04
7-Nov-20,14828.40,15578.20,15754.40,14385.10,160.73K,-0.05
6-Nov-20,15577.90,15593.90,15955.20,15223.50,186.13K,0.00
5-Nov-20,15587.10,14145.60,15739.90,14099.70,227.49K,0.10
4-Nov-20,14145.60,14023.00,14238.80,13544.40,140.80K,0.01
3-Nov-20,14019.90,13560.50,14054.00,13294.60,108.17K,0.03
2-Nov-20,13561.40,13759.70,13828.40,13214.20,97.76K,-0.01
1-Nov-20,13759.40,13795.50,13889.50,13628.70,51.71K,0.00
31-Oct-20,13797.30,13560.20,14065.40,13441.70,102.75K,0.02
30-Oct-20,13559.90,13457.00,13667.90,13134.50,108.77K,0.01
29-Oct-20,13457.20,13278.30,13640.00,12982.90,111.23K,0.01
28-Oct-20,13278.90,13658.30,13851.70,12907.60,144.18K,-0.03
27-Oct-20,13657.80,13061.50,13782.30,13050.30,128.64K,0.05
26-Oct-20,13061.60,13033.00,13229.70,12792.40,89.47K,0.00
25-Oct-20,13032.20,13117.00,13345.30,12900.40,59.73K,-0.01
24-Oct-20,13117.20,12933.60,13161.50,12876.40,51.20K,0.01
23-Oct-20,12934.10,12972.70,13025.50,12738.90,73.94K,0.00
22-Oct-20,12974.60,12805.50,13183.90,12698.20,113.31K,0.01
21-Oct-20,12808.70,11913.60,13213.50,11894.60,197.72K,0.08
20-Oct-20,11913.50,11753.90,12029.40,11685.70,94.59K,0.01
19-Oct-20,11753.40,11507.10,11823.30,11413.90,73.04K,0.02
18-Oct-20,11506.90,11362.10,11506.90,11349.80,31.51K,0.01
17-Oct-20,11362.10,11321.80,11402.70,11274.40,29.86K,0.00
16-Oct-20,11322.00,11503.20,11542.20,11224.60,71.42K,-0.02
15-Oct-20,11503.00,11421.40,11590.90,11276.70,70.84K,0.01
14-Oct-20,11420.40,11424.40,11541.00,11293.50,59.12K,0.00
13-Oct-20,11423.80,11533.50,11558.00,11315.90,64.67K,-0.01
12-Oct-20,11533.90,11370.80,11715.90,11227.40,84.02K,0.01
11-Oct-20,11371.00,11295.60,11439.40,11277.60,41.06K,0.01
10-Oct-20,11298.40,11053.50,11475.00,11053.10,65.81K,0.02
9-Oct-20,11054.20,10923.50,11103.00,10836.90,70.95K,0.01
8-Oct-20,10924.10,10670.70,10948.60,10549.60,79.78K,0.02
7-Oct-20,10670.90,10601.00,10680.10,10553.30,49.27K,0.01
6-Oct-20,10602.60,10790.20,10800.30,10530.80,69.07K,-0.02
5-Oct-20,10789.50,10672.50,10789.60,10623.40,48.86K,0.01
4-Oct-20,10672.90,10544.40,10693.30,10520.80,31.40K,0.01
3-Oct-20,10544.20,10572.20,10597.80,10501.20,29.10K,0.00
2-Oct-20,10572.30,10619.60,10662.90,10387.60,77.94K,0.00
1-Oct-20,10620.50,10776.60,10913.70,10462.70,95.33K,-0.01
30-Sep-20,10776.10,10843.40,10847.70,10667.60,55.55K,-0.01
29-Sep-20,10840.90,10694.30,10858.40,10642.40,59.64K,0.01
28-Sep-20,10693.20,10776.40,10946.60,10685.20,72.29K,-0.01
27-Sep-20,10776.20,10727.90,10799.20,10602.70,40.92K,0.00
26-Sep-20,10727.90,10688.90,10793.30,10650.20,37.85K,0.00
25-Sep-20,10688.80,10739.90,10756.00,10558.90,71.43K,0.00
24-Sep-20,10739.40,10238.10,10787.80,10201.00,82.95K,0.05
23-Sep-20,10237.30,10531.50,10535.40,10146.60,74.95K,-0.03
22-Sep-20,10531.50,10419.40,10570.70,10361.70,63.52K,0.01
21-Sep-20,10416.80,10919.90,10987.20,10328.50,109.85K,-0.05
20-Sep-20,10921.50,11081.60,11081.60,10772.70,53.39K,-0.01
19-Sep-20,11081.80,10933.00,11177.10,10890.70,51.63K,0.01
18-Sep-20,10933.00,10941.30,11029.70,10818.70,63.48K,0.00
17-Sep-20,10941.30,10950.10,11039.30,10755.20,77.22K,0.00
16-Sep-20,10949.50,10785.20,11093.30,10669.20,94.94K,0.02
15-Sep-20,10785.30,10675.20,10931.80,10627.80,91.70K,0.01
14-Sep-20,10675.30,10332.70,10744.30,10264.50,96.64K,0.03
13-Sep-20,10326.00,10441.70,10579.60,10219.40,66.12K,-0.01
12-Sep-20,10441.90,10390.20,10476.80,10275.90,48.49K,0.01
11-Sep-20,10390.20,10339.80,10398.80,10212.60,62.28K,0.00
10-Sep-20,10339.70,10224.30,10480.30,10219.20,88.01K,0.01
9-Sep-20,10224.60,10126.80,10343.30,9984.60,71.37K,0.01
8-Sep-20,10126.60,10376.90,10434.40,9877.10,113.90K,-0.02
7-Sep-20,10376.90,10296.40,10400.90,9887.00,12.40M,0.01
6-Sep-20,10296.40,10092.20,10337.70,10004.70,12.12M,0.02
5-Sep-20,10092.20,10472.30,10558.70,9897.80,14.72M,-0.04
4-Sep-20,10472.50,10168.70,10614.20,9960.30,12.50M,0.03
3-Sep-20,10168.80,11413.20,11442.70,10009.50,9.65M,-0.11
2-Sep-20,11413.30,11914.40,11947.50,11244.90,20.26M,-0.04
1-Sep-20,11914.90,11644.20,12045.90,11544.60,580.69K,0.02
31-Aug-20,11644.20,11701.10,11760.20,11563.80,496.14K,0.00
30-Aug-20,11702.00,11468.10,11704.20,11462.60,409.36K,0.02
29-Aug-20,11468.10,11527.80,11576.80,11433.50,389.85K,-0.01
28-Aug-20,11527.40,11327.50,11539.00,11281.90,464.94K,0.02
27-Aug-20,11327.40,11462.30,11580.30,11135.30,560.59K,-0.01
26-Aug-20,11462.30,11324.90,11533.60,11254.60,513.06K,0.01
25-Aug-20,11324.80,11752.90,11766.90,11131.00,594.07K,-0.04
24-Aug-20,11753.50,11641.60,11824.60,11587.10,429.13K,0.01
23-Aug-20,11641.60,11661.10,11705.40,11520.80,377.33K,0.00
22-Aug-20,11661.30,11529.20,11677.00,11382.10,433.98K,0.01
21-Aug-20,11529.20,11856.90,11877.40,11495.60,506.38K,-0.03
20-Aug-20,11856.90,11751.00,11881.00,11672.70,430.93K,0.01
19-Aug-20,11750.20,11944.40,12013.20,11602.60,550.26K,-0.02
18-Aug-20,11947.60,12283.00,12381.40,11842.00,606.79K,-0.03
17-Aug-20,12282.60,11898.80,12444.10,11764.00,628.41K,0.03
16-Aug-20,11899.00,11845.50,11922.50,11688.90,410.81K,0.00
15-Aug-20,11845.30,11751.10,11964.00,11711.50,499.10K,0.01
14-Aug-20,11750.80,11771.10,11835.50,11651.50,435.44K,0.00
13-Aug-20,11770.90,11557.20,11772.90,11298.40,545.67K,0.02
12-Aug-20,11557.20,11390.40,11605.40,11190.60,549.59K,0.01
11-Aug-20,11390.40,11889.20,11931.80,11146.70,615.90K,-0.04
10-Aug-20,11889.20,11681.10,12041.10,11546.90,564.11K,0.02
9-Aug-20,11681.20,11764.40,11792.80,11527.50,303.00K,-0.01
8-Aug-20,11764.30,11591.60,11805.50,11533.50,317.06K,0.01
7-Aug-20,11592.00,11757.10,11901.80,11352.40,517.00K,-0.01
6-Aug-20,11757.10,11735.00,11898.40,11563.00,554.85K,0.00
5-Aug-20,11735.10,11184.80,11771.50,11114.50,570.83K,0.05
4-Aug-20,11184.70,11223.80,11407.80,11043.00,485.79K,0.00
3-Aug-20,11224.40,11066.90,11461.10,10981.60,470.24K,0.01
2-Aug-20,11066.80,11802.60,12061.10,10730.70,647.95K,-0.06
1-Aug-20,11803.10,11333.20,11847.70,11226.10,611.47K,0.04
31-Jul-20,11333.40,11096.50,11434.80,10964.60,530.95K,0.02
30-Jul-20,11096.20,11105.80,11164.40,10861.60,501.14K,0.00
29-Jul-20,11105.90,10908.40,11336.50,10771.80,576.83K,0.02
28-Jul-20,10908.50,10961.10,11046.10,10873.60,658.37K,-0.01
27-Jul-20,11022.80,9932.70,11367.00,9894.60,908.99K,0.11
26-Jul-20,9932.50,9690.00,10086.60,9645.90,415.07K,0.02
25-Jul-20,9704.10,9546.70,9729.30,9536.20,306.29K,0.02
24-Jul-20,9546.40,9599.20,9626.20,9480.50,359.16K,-0.01
23-Jul-20,9599.60,9513.60,9646.50,9451.10,425.66K,0.01
22-Jul-20,9513.70,9387.40,9523.10,9296.00,386.00K,0.01
21-Jul-20,9387.30,9162.30,9426.90,9155.10,458.99K,0.02
20-Jul-20,9162.40,9208.10,9218.40,9139.90,312.98K,-0.01
19-Jul-20,9208.00,9170.10,9224.80,9106.40,265.25K,0.00
18-Jul-20,9170.20,9155.80,9198.80,9126.70,276.40K,0.00
17-Jul-20,9155.80,9135.40,9181.90,9091.50,310.92K,0.00
16-Jul-20,9135.30,9198.70,9224.20,9052.00,429.04K,-0.01
15-Jul-20,9198.70,9253.60,9270.20,9168.70,429.84K,-0.01
14-Jul-20,9253.40,9243.10,9274.80,9135.70,453.83K,0.00
13-Jul-20,9243.60,9300.50,9329.60,9207.60,456.87K,-0.01
12-Jul-20,9300.80,9234.20,9337.80,9170.40,366.88K,0.01
11-Jul-20,9233.30,9285.80,9295.50,9184.20,353.92K,-0.01
10-Jul-20,9285.10,9239.00,9309.80,9131.90,418.47K,0.01
9-Jul-20,9235.70,9430.10,9434.50,9176.00,444.27K,-0.02
8-Jul-20,9429.90,9256.30,9458.30,9233.10,509.94K,0.02
7-Jul-20,9256.00,9338.80,9371.20,9209.30,420.55K,-0.01
6-Jul-20,9339.00,9080.40,9363.00,9063.20,510.27K,0.03
5-Jul-20,9081.00,9134.30,9149.60,8932.10,314.10K,-0.01
4-Jul-20,9134.40,9067.10,9182.30,9049.60,261.25K,0.01
3-Jul-20,9067.10,9085.00,9120.40,9050.90,333.88K,0.00
2-Jul-20,9085.10,9229.90,9259.70,8962.10,483.10K,-0.02
1-Jul-20,9229.90,9135.90,9289.00,9101.10,366.78K,0.01
30-Jun-20,9135.40,9186.00,9199.80,9075.30,381.73K,-0.01
29-Jun-20,9185.40,9122.80,9229.10,9033.60,401.12K,0.01
28-Jun-20,9124.00,9008.40,9185.50,8950.20,329.01K,0.01
27-Jun-20,9008.30,9160.50,9190.50,8865.30,441.93K,-0.02
26-Jun-20,9160.00,9247.50,9296.50,9060.10,489.84K,-0.01
25-Jun-20,9247.50,9300.80,9327.30,9022.60,524.45K,-0.01
24-Jun-20,9302.00,9624.60,9667.40,9223.00,515.78K,-0.03
23-Jun-20,9624.60,9683.90,9715.60,9581.80,375.49K,-0.01
22-Jun-20,9683.70,9296.50,9751.90,9285.80,523.32K,0.04
21-Jun-20,9296.40,9358.80,9411.20,9288.50,335.99K,-0.01
20-Jun-20,9358.80,9314.00,9394.50,9199.80,383.44K,0.00
19-Jun-20,9314.00,9390.30,9424.00,9249.60,478.49K,-0.01
18-Jun-20,9388.10,9464.60,9480.40,9289.30,391.67K,-0.01
17-Jun-20,9464.60,9523.60,9543.60,9258.20,446.45K,-0.01
16-Jun-20,9523.50,9425.60,9577.10,9379.30,545.47K,0.01
15-Jun-20,9425.40,9345.50,9489.70,8925.60,750.90K,0.01
14-Jun-20,9345.30,9470.70,9474.70,9264.40,311.27K,-0.01
13-Jun-20,9471.30,9466.50,9484.90,9369.90,364.97K,0.00
12-Jun-20,9466.60,9283.70,9547.50,9249.40,529.28K,0.02
11-Jun-20,9283.20,9878.90,9945.20,9139.10,919.30K,-0.06
10-Jun-20,9878.80,9768.80,9970.90,9710.70,533.55K,0.01
9-Jun-20,9768.80,9777.70,9857.20,9616.60,479.55K,0.00
8-Jun-20,9777.90,9743.40,9788.20,9662.30,431.04K,0.00
7-Jun-20,9742.60,9669.60,9791.80,9417.40,549.20K,0.01
6-Jun-20,9669.60,9630.80,9733.10,9549.50,370.85K,0.00
5-Jun-20,9631.20,9794.00,9846.10,9628.70,527.05K,-0.02
4-Jun-20,9794.40,9667.20,9864.40,9490.90,593.66K,0.01
3-Jun-20,9667.20,9527.00,9667.20,9421.70,558.12K,0.01
2-Jun-20,9527.60,10190.70,10207.30,9347.30,1.06M,-0.06
1-Jun-20,10189.30,9454.50,10301.80,9429.70,796.68K,0.08
31-May-20,9454.80,9692.90,9695.60,9406.20,645.27K,-0.02
30-May-20,9692.50,9424.80,9729.90,9352.70,720.62K,0.03
29-May-20,9424.80,9573.40,9596.50,9358.10,814.33K,-0.02
28-May-20,9572.20,9199.80,9610.80,9119.20,948.86K,0.04
27-May-20,9199.10,8842.30,9210.90,8818.60,810.89K,0.04
26-May-20,8842.50,8897.70,8994.60,8713.90,784.92K,-0.01
25-May-20,8898.20,8728.00,8959.50,8666.10,941.89K,0.02
24-May-20,8728.20,9177.90,9292.00,8724.10,1.11M,-0.05
23-May-20,9177.00,9169.80,9303.20,9098.90,812.56K,0.00
22-May-20,9169.70,9058.20,9253.50,8952.10,914.59K,0.01
21-May-20,9059.00,9511.60,9567.10,8833.60,1.41M,-0.05
20-May-20,9512.30,9773.00,9829.30,9368.40,1.15M,-0.03
19-May-20,9773.30,9730.80,9883.90,9498.70,1.16M,0.00
18-May-20,9730.70,9678.40,9930.20,9524.40,1.18M,0.01
17-May-20,9677.70,9376.60,9866.00,9327.80,1.18M,0.03
16-May-20,9379.50,9318.10,9579.00,9233.00,1.10M,0.01
