Date,Price,Open,High,Low,Vol.,Change %
4-Oct-20,0.0026,0.0026,0.0027,0.0026,1.88B,0.0161
3-Oct-20,0.0026,0.0026,0.0026,0.0026,1.83B,0.0026
2-Oct-20,0.0026,0.0026,0.0026,0.0025,4.00B,-0.0132
1-Oct-20,0.0026,0.0026,0.0027,0.0026,2.36B,-0.0034
30-Sep-20,0.0026,0.0027,0.0027,0.0026,1.46B,-0.0146
29-Sep-20,0.0027,0.0026,0.0027,0.0026,2.20B,0.0088
28-Sep-20,0.0026,0.0027,0.0027,0.0026,1.60B,-0.0177
27-Sep-20,0.0027,0.0027,0.0027,0.0027,1.06B,0.0000
26-Sep-20,0.0027,0.0027,0.0028,0.0027,1.66B,-0.0060
25-Sep-20,0.0027,0.0026,0.0027,0.0026,2.11B,0.0317
24-Sep-20,0.0026,0.0026,0.0027,0.0025,1.40B,0.0318
23-Sep-20,0.0025,0.0026,0.0026,0.0025,1.50B,-0.0356
22-Sep-20,0.0026,0.0026,0.0027,0.0026,1.36B,0.0140
21-Sep-20,0.0026,0.0028,0.0028,0.0026,2.40B,-0.0606
20-Sep-20,0.0028,0.0028,0.0028,0.0027,1.69B,-0.0062
19-Sep-20,0.0028,0.0028,0.0028,0.0028,1.54B,0.0015
18-Sep-20,0.0028,0.0028,0.0028,0.0028,1.15B,-0.0070
17-Sep-20,0.0028,0.0028,0.0028,0.0028,1.41B,0.0048
16-Sep-20,0.0028,0.0028,0.0029,0.0028,2.02B,-0.0125
15-Sep-20,0.0028,0.0028,0.0029,0.0028,2.21B,0.0139
14-Sep-20,0.0028,0.0028,0.0028,0.0027,1.84B,0.0026
13-Sep-20,0.0028,0.0028,0.0028,0.0027,2.02B,-0.0115
12-Sep-20,0.0028,0.0028,0.0028,0.0028,2.28B,0.0066
11-Sep-20,0.0028,0.0028,0.0028,0.0027,2.79B,-0.0029
10-Sep-20,0.0028,0.0028,0.0028,0.0028,2.89B,0.0087
9-Sep-20,0.0028,0.0027,0.0028,0.0027,2.58B,0.0127
8-Sep-20,0.0027,0.0028,0.0028,0.0027,3.09B,-0.0246
7-Sep-20,0.0028,0.0028,0.0028,0.0027,4.32B,0.0115
6-Sep-20,0.0028,0.0028,0.0028,0.0027,5.15B,0.0084
5-Sep-20,0.0028,0.0029,0.0029,0.0027,5.07B,-0.0406
4-Sep-20,0.0029,0.0028,0.0030,0.0027,5.70B,0.0360
3-Sep-20,0.0028,0.0031,0.0031,0.0027,6.14B,-0.1095
2-Sep-20,0.0031,0.0032,0.0033,0.0030,5.65B,-0.0383
1-Sep-20,0.0032,0.0032,0.0033,0.0032,9.17B,0.0100
31-Aug-20,0.0032,0.0033,0.0033,0.0032,9.46B,-0.0265
30-Aug-20,0.0033,0.0033,0.0034,0.0033,8.48B,0.0066
29-Aug-20,0.0033,0.0033,0.0033,0.0032,8.48B,0.0038
28-Aug-20,0.0033,0.0032,0.0033,0.0032,6.57B,0.0183
27-Aug-20,0.0032,0.0033,0.0033,0.0031,10.01B,-0.0267
26-Aug-20,0.0033,0.0033,0.0033,0.0032,8.81B,0.0039
25-Aug-20,0.0033,0.0034,0.0034,0.0032,7.65B,-0.0379
24-Aug-20,0.0034,0.0034,0.0035,0.0034,2.90B,0.0036
23-Aug-20,0.0034,0.0034,0.0035,0.0034,1.97B,-0.0116
22-Aug-20,0.0034,0.0034,0.0035,0.0033,2.58B,0.0180
21-Aug-20,0.0034,0.0034,0.0036,0.0034,4.26B,-0.0188
20-Aug-20,0.0034,0.0034,0.0035,0.0034,2.06B,0.0071
19-Aug-20,0.0034,0.0035,0.0035,0.0033,3.36B,-0.0174
18-Aug-20,0.0035,0.0036,0.0037,0.0035,4.23B,-0.0310
17-Aug-20,0.0036,0.0035,0.0037,0.0035,5.55B,0.0151
16-Aug-20,0.0035,0.0035,0.0036,0.0034,3.20B,0.0002
15-Aug-20,0.0035,0.0036,0.0036,0.0035,3.76B,-0.0099
14-Aug-20,0.0036,0.0035,0.0036,0.0034,3.48B,0.0251
13-Aug-20,0.0035,0.0035,0.0035,0.0033,4.77B,0.0061
12-Aug-20,0.0035,0.0034,0.0035,0.0033,4.49B,0.0208
11-Aug-20,0.0034,0.0035,0.0036,0.0033,5.59B,-0.0298
10-Aug-20,0.0035,0.0035,0.0036,0.0034,4.52B,0.0078
9-Aug-20,0.0035,0.0035,0.0035,0.0034,3.56B,-0.0129
8-Aug-20,0.0035,0.0035,0.0035,0.0034,4.05B,-0.0050
7-Aug-20,0.0035,0.0036,0.0036,0.0034,4.80B,-0.0077
6-Aug-20,0.0036,0.0035,0.0037,0.0035,4.01B,0.0163
5-Aug-20,0.0035,0.0035,0.0036,0.0035,4.33B,-0.0133
4-Aug-20,0.0035,0.0034,0.0036,0.0034,4.95B,0.0524
3-Aug-20,0.0034,0.0033,0.0035,0.0033,4.20B,0.0117
2-Aug-20,0.0033,0.0037,0.0038,0.0031,8.03B,-0.1024
1-Aug-20,0.0037,0.0032,0.0038,0.0032,11.35B,0.1517
31-Jul-20,0.0032,0.0032,0.0032,0.0032,3.28B,-0.0008
30-Jul-20,0.0032,0.0032,0.0032,0.0031,2.87B,0.0175
29-Jul-20,0.0032,0.0032,0.0033,0.0032,3.23B,-0.0039
28-Jul-20,0.0032,0.0032,0.0032,0.0031,3.96B,0.0053
27-Jul-20,0.0032,0.0032,0.0032,0.0030,5.86B,-0.0216
26-Jul-20,0.0032,0.0033,0.0033,0.0032,4.57B,-0.0047
25-Jul-20,0.0033,0.0032,0.0033,0.0032,4.26B,0.0116
24-Jul-20,0.0032,0.0033,0.0033,0.0032,4.16B,-0.0254
23-Jul-20,0.0033,0.0033,0.0033,0.0033,3.89B,0.0030
22-Jul-20,0.0033,0.0033,0.0033,0.0032,3.52B,-0.0036
21-Jul-20,0.0033,0.0032,0.0033,0.0032,4.84B,0.0232
20-Jul-20,0.0032,0.0034,0.0034,0.0032,5.60B,-0.0458
19-Jul-20,0.0034,0.0035,0.0038,0.0033,9.43B,-0.0215
18-Jul-20,0.0035,0.0031,0.0037,0.0030,18.06B,0.1309
17-Jul-20,0.0031,0.0030,0.0031,0.0029,5.70B,0.0249
16-Jul-20,0.0030,0.0031,0.0031,0.0029,6.24B,-0.0366
15-Jul-20,0.0031,0.0033,0.0034,0.0031,5.24B,-0.0601
14-Jul-20,0.0033,0.0032,0.0034,0.0030,7.34B,0.0417
13-Jul-20,0.0032,0.0036,0.0036,0.0030,13.40B,-0.1309
12-Jul-20,0.0036,0.0038,0.0038,0.0036,6.56B,-0.0452
11-Jul-20,0.0038,0.0035,0.0040,0.0035,11.32B,0.0802
10-Jul-20,0.0035,0.0043,0.0043,0.0034,18.81B,-0.1861
9-Jul-20,0.0043,0.0047,0.0050,0.0041,24.23B,-0.0895
8-Jul-20,0.0048,0.0031,0.0054,0.0031,48.78B,0.5241
7-Jul-20,0.0031,0.0026,0.0033,0.0026,12.70B,0.1921
6-Jul-20,0.0026,0.0023,0.0026,0.0023,4.52B,0.1378
5-Jul-20,0.0023,0.0023,0.0023,0.0023,2.56B,-0.0023
4-Jul-20,0.0023,0.0023,0.0023,0.0023,2.60B,-0.0066
3-Jul-20,0.0023,0.0023,0.0023,0.0023,2.77B,0.0000
2-Jul-20,0.0023,0.0023,0.0023,0.0023,2.76B,-0.0021
1-Jul-20,0.0023,0.0023,0.0023,0.0023,2.79B,0.0054
30-Jun-20,0.0023,0.0023,0.0023,0.0023,2.86B,0.0040
29-Jun-20,0.0023,0.0023,0.0023,0.0023,3.05B,-0.0042
28-Jun-20,0.0023,0.0023,0.0024,0.0023,2.85B,-0.0039
27-Jun-20,0.0023,0.0024,0.0024,0.0023,2.69B,-0.0145
